,medium,IPS_type,chir,chir_hour,rest_hour,percentage_of_cTNT+_cells
S1,B27,IPS18,2,24,48,0
S2,B27,IPS18,2,24,48,0
S23,B27,IPS18,2,24,48,0
S24,B27,IPS18,2,24,48,0
S25,B27,IPS18,2,24,48,0
S26,B27,IPS18,2,24,48,0
S3,B27,IPS18,4,24,48,0.6
S4,B27,IPS18,4,24,48,0.65
S21,B27,IPS18,4,24,48,0.2
S22,B27,IPS18,4,24,48,0.15
S27,B27,IPS18,4,24,48,0.1
S28,B27,IPS18,4,24,48,0.1
S5,B27,IPS18,6,24,48,0.9
S6,B27,IPS18,6,24,48,0.98
S19,B27,IPS18,6,24,48,0.95
S20,B27,IPS18,6,24,48,0.95
S29,B27,IPS18,6,24,48,0.95
S30,B27,IPS18,6,24,48,0.85
S7,B27,IPS18,8,24,48,0.99
S8,B27,IPS18,8,24,48,0.95
S17,B27,IPS18,8,24,48,0.92
S18,B27,IPS18,8,24,48,1
S31,B27,IPS18,8,24,48,0.92
S32,B27,IPS18,8,24,48,0.98
S9,B27,IPS18,10,24,48,0.95
S10,B27,IPS18,10,24,48,0.92
S15,B27,IPS18,10,24,48,0.95
S16,B27,IPS18,10,24,48,0.9
S33,B27,IPS18,10,24,48,0.8
S34,B27,IPS18,10,24,48,0.95
S11,B27,IPS18,12,24,48,0.9
S12,B27,IPS18,12,24,48,0.99
S13,B27,IPS18,12,24,48,0.9
S14,B27,IPS18,12,24,48,0.9
S35,B27,IPS18,12,24,48,0.95
S36,B27,IPS18,12,24,48,0.95
S37,B27,IPS18,12,36,36,0.98
S38,B27,IPS18,12,36,36,0.9
S39,B27,IPS18,10,36,36,0.95
S40,B27,IPS18,10,36,36,0.95
S41,B27,IPS18,8,36,36,0.95
S42,B27,IPS18,8,36,36,0.95
S43,B27,IPS18,6,36,36,0.95
S44,B27,IPS18,6,36,36,0.95
S45,B27,IPS18,4,36,36,0.85
S46,B27,IPS18,4,36,36,0.85
S47,B27,IPS18,2,36,36,0
S48,B27,IPS18,2,36,36,0
S49,B27,IPS18,2,36,36,0
S50,B27,IPS18,2,36,36,0
S51,B27,IPS18,4,36,36,0.5
S52,B27,IPS18,4,36,36,0.7
S53,B27,IPS18,6,36,36,0.95
S54,B27,IPS18,6,36,36,0.95
S55,B27,IPS18,8,36,36,0.9
S56,B27,IPS18,8,36,36,0.85
S57,B27,IPS18,10,36,36,0.85
S58,B27,IPS18,10,36,36,0.88
S59,B27,IPS18,12,36,36,0.75
S60,B27,IPS18,12,36,36,0.8
S61,B27,IPS18,12,48,24,0.05
S62,B27,IPS18,12,48,24,0.25
S63,B27,IPS18,10,48,24,0.95
S64,B27,IPS18,10,48,24,0.8
S65,B27,IPS18,8,48,24,0.92
S66,B27,IPS18,8,48,24,0.95
S67,B27,IPS18,6,48,24,0.95
S68,B27,IPS18,6,48,24,0.95
S69,B27,IPS18,4,48,24,0.9
S70,B27,IPS18,4,48,24,0.98
S71,B27,IPS18,2,48,24,0
S72,B27,IPS18,2,48,24,0
S73,B27,IPS18,2,48,24,0.02
S74,B27,IPS18,2,48,24,0
S75,B27,IPS18,4,48,24,0.95
S76,B27,IPS18,4,48,24,0.95
S77,B27,IPS18,6,48,24,0.95
S78,B27,IPS18,6,48,24,0.9
S79,B27,IPS18,8,48,24,0.95
S80,B27,IPS18,8,48,24,0.8
S81,B27,IPS18,10,48,24,0.1
S82,B27,IPS18,10,48,24,0.6
S83,B27,IPS18,12,48,24,0.1
S84,B27,IPS18,12,48,24,0.1
S85,B27,IPS18,12,48,24,0.03
S86,B27,IPS18,12,48,24,0.02
S87,B27,IPS18,10,48,24,0.05
S88,B27,IPS18,10,48,24,0.04
S89,B27,IPS18,8,48,24,0.01
S90,B27,IPS18,8,48,24,0.05
S91,B27,IPS18,6,48,24,0.9
S92,B27,IPS18,6,48,24,0.9
S93,B27,IPS18,4,48,24,0.95
S94,B27,IPS18,4,48,24,0.95
S95,B27,IPS18,2,48,24,0
S96,B27,IPS18,2,48,24,0
