,medium,IPS_type,chir,chir_hour,rest_hour,percentage_of_cTNT+_cells
S1,B27,IPS18,4,24,48,0.82
S2,B27,IPS18,4,24,48,0.8
S3,B27,IPS18,4,24,48,0.8
S4,B27,IPS18,4,24,48,0.75
S5,B27,IPS18,4,36,36,0.8
S6,B27,IPS18,4,36,36,0.8
S7,B27,IPS18,4,36,36,0.8
S8,B27,IPS18,4,36,36,0.8
S9,B27,IPS18,4,48,24,0.25
S10,B27,IPS18,4,48,24,0.2
S11,B27,IPS18,4,48,24,0.35
S12,B27,IPS18,4,48,24,0.4
S13,B27,IPS18,4,48,24,0.4
S14,B27,IPS18,4,48,24,0.65
S15,B27,IPS18,4,48,24,0.65
S16,B27,IPS18,4,48,24,0.7
S17,B27,IPS18,4,36,36,0.7
S18,B27,IPS18,4,36,36,0.7
S19,B27,IPS18,4,36,36,0.7
S20,B27,IPS18,4,36,36,0.7
S21,B27,IPS18,4,24,48,0.7
S22,B27,IPS18,4,24,48,0.7
S23,B27,IPS18,4,24,48,0.7
S24,B27,IPS18,4,24,48,0.72
S25,B27,IPS18,6,24,48,0.1
S26,B27,IPS18,6,24,48,0.7
S27,B27,IPS18,6,24,48,0.7
S28,B27,IPS18,6,24,48,0.7
S29,B27,IPS18,6,36,36,0.25
S30,B27,IPS18,6,36,36,0.32
S31,B27,IPS18,6,36,36,0.3
S32,B27,IPS18,6,36,36,0.28
S33,B27,IPS18,6,48,24,0.15
S34,B27,IPS18,6,48,24,0.1
S35,B27,IPS18,6,48,24,0.04
S36,B27,IPS18,6,48,24,0.01
S37,B27,IPS18,6,48,24,0.1
S38,B27,IPS18,6,48,24,0.03
S39,B27,IPS18,6,48,24,0.08
S40,B27,IPS18,6,48,24,0.15
S41,B27,IPS18,6,36,36,0.65
S42,B27,IPS18,6,36,36,0.65
S43,B27,IPS18,6,36,36,0.65
S44,B27,IPS18,6,36,36,0.65
S45,B27,IPS18,6,24,48,0.65
S46,B27,IPS18,6,24,48,0.65
S47,B27,IPS18,6,24,48,0.65
S48,B27,IPS18,6,24,48,0.65
S49,B27,IPS18,8,24,48,0.45
S50,B27,IPS18,8,24,48,0.6
S51,B27,IPS18,8,24,48,0.6
S52,B27,IPS18,8,24,48,0.6
S53,B27,IPS18,8,36,36,0.2
S54,B27,IPS18,8,36,36,0.5
S55,B27,IPS18,8,36,36,0.25
S56,B27,IPS18,8,36,36,0.25
S57,B27,IPS18,8,48,24,0.1
S58,B27,IPS18,8,48,24,0.08
S59,B27,IPS18,8,48,24,0.08
S60,B27,IPS18,8,48,24,0
S61,B27,IPS18,8,48,24,0
S62,B27,IPS18,8,48,24,0.01
S63,B27,IPS18,8,48,24,0.08
S64,B27,IPS18,8,48,24,0.05
S65,B27,IPS18,8,36,36,0.15
S66,B27,IPS18,8,36,36,0.15
S67,B27,IPS18,8,36,36,0.2
S68,B27,IPS18,8,36,36,0.15
S69,B27,IPS18,8,24,48,0.65
S70,B27,IPS18,8,24,48,0.65
S71,B27,IPS18,8,24,48,0.65
S72,B27,IPS18,8,24,48,0.3
S73,B27,IPS18,10,24,48,0.4
S74,B27,IPS18,10,24,48,0.5
S75,B27,IPS18,10,24,48,0.65
S76,B27,IPS18,10,24,48,0.6
S77,B27,IPS18,10,36,36,0.2
S78,B27,IPS18,10,36,36,0.22
S79,B27,IPS18,10,36,36,0.25
S80,B27,IPS18,10,36,36,0.4
S81,B27,IPS18,10,48,24,0.01
S82,B27,IPS18,10,48,24,0.01
S83,B27,IPS18,10,48,24,0.01
S84,B27,IPS18,10,48,24,0
S85,B27,IPS18,10,48,24,0
S86,B27,IPS18,10,48,24,0
S87,B27,IPS18,10,48,24,0.01
S88,B27,IPS18,10,48,24,0.01
S89,B27,IPS18,10,36,36,0.03
S90,B27,IPS18,10,36,36,0.08
S91,B27,IPS18,10,36,36,0.1
S92,B27,IPS18,10,36,36,0.05
S93,B27,IPS18,10,24,48,0.2
S94,B27,IPS18,10,24,48,0.3
S95,B27,IPS18,10,24,48,0.3
S96,B27,IPS18,10,24,48,0.12
