,medium,IPS_type,chir,chir_hour,rest_hour,percentage_of_cTNT+_cells
S1,B27,H9,2,18,54,0
S2,B27,H9,4,18,54,0.03
S3,B27,H9,6,18,54,0.85
S4,B27,H9,8,18,54,0.85
S5,B27,H9,10,18,54,0.85
S6,B27,H9,12,18,54,0.1
S7,B27,H9,2,18,54,0
S8,B27,H9,4,18,54,0.03
S9,B27,H9,6,18,54,0.5
S10,B27,H9,8,18,54,0.85
S11,B27,H9,10,18,54,0.05
S12,B27,H9,12,18,54,0.05
S13,B27,H9,12,24,48,0.05
S14,B27,H9,10,24,48,0.2
S15,B27,H9,8,24,48,0.85
S16,B27,H9,6,24,48,0.85
S17,B27,H9,4,24,48,0.01
S18,B27,H9,2,24,48,0
S19,B27,H9,12,24,48,0.05
S20,B27,H9,10,24,48,0.1
S21,B27,H9,8,24,48,0.85
S22,B27,H9,6,24,48,0.85
S23,B27,H9,4,24,48,0.01
S24,B27,H9,2,24,48,0
S25,B27,H9,2,30,42,0.01
S26,B27,H9,4,30,42,0.01
S27,B27,H9,6,30,42,0.85
S28,B27,H9,8,30,42,0.89
S29,B27,H9,10,30,42,0.1
S30,B27,H9,12,30,42,0.05
S31,B27,H9,2,30,42,0
S32,B27,H9,4,30,42,0
S33,B27,H9,6,30,42,0.85
S34,B27,H9,8,30,42,0.95
S35,B27,H9,10,30,42,0.1
S36,B27,H9,12,30,42,0.05
S37,B27,H9,12,36,36,0.2
S38,B27,H9,10,36,36,0.15
S39,B27,H9,8,36,36,0.89
S40,B27,H9,6,36,36,0.85
S41,B27,H9,4,36,36,0
S42,B27,H9,2,36,36,0
S43,B27,H9,12,36,36,0.15
S44,B27,H9,10,36,36,0.2
S45,B27,H9,8,36,36,0.89
S46,B27,H9,6,36,36,0.58
S47,B27,H9,4,36,36,0.01
S48,B27,H9,2,36,36,0.01
S49,B27,H9,2,42,30,0.01
S50,B27,H9,4,42,30,0
S51,B27,H9,6,42,30,0.85
S52,B27,H9,8,42,30,0.9
S53,B27,H9,10,42,30,0.95
S54,B27,H9,12,42,30,0.2
S55,B27,H9,2,42,30,0.01
S56,B27,H9,4,42,30,0
S57,B27,H9,6,42,30,0.85
S58,B27,H9,8,42,30,0.9
S59,B27,H9,10,42,30,0.25
S60,B27,H9,12,42,30,0.2
S61,B27,H9,12,48,24,0.2
S62,B27,H9,10,48,24,0.25
S63,B27,H9,8,48,24,0.9
S64,B27,H9,6,48,24,0.85
S65,B27,H9,4,48,24,0
S66,B27,H9,2,48,24,0.01
S67,B27,H9,12,48,24,0.2
S68,B27,H9,10,48,24,0.95
S69,B27,H9,8,48,24,0.9
S70,B27,H9,6,48,24,0.85
S71,B27,H9,4,48,24,0
S72,B27,H9,2,48,24,0.01
S73,B27,H9,2,54,18,0
S74,B27,H9,4,54,18,0.01
S75,B27,H9,6,54,18,0.85
S76,B27,H9,8,54,18,0.85
S77,B27,H9,10,54,18,0.6
S78,B27,H9,12,54,18,0.4
S79,B27,H9,2,54,18,0
S80,B27,H9,4,54,18,0.01
S81,B27,H9,6,54,18,0.85
S82,B27,H9,8,54,18,0.85
S83,B27,H9,10,54,18,0.5
S84,B27,H9,12,54,18,0.3
S85,B27,H9,12,24,48,0.2
S86,B27,H9,10,24,48,0.4
S87,B27,H9,8,24,48,0.7
S88,B27,H9,6,24,48,0.85
S89,B27,H9,4,24,48,0.05
S90,B27,H9,2,24,48,0
S91,B27,H9,12,24,48,0.05
S92,B27,H9,10,24,48,0.4
S93,B27,H9,8,24,48,0.85
S94,B27,H9,6,24,48,0.85
S95,B27,H9,4,24,48,0.01
S96,B27,H9,2,24,48,0
