,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
20,CD01-1,21,"[5.021365953238162, 5.431059516784257, 5.731982600576735, 0.5602150542648656, 0.5343722985387876, 0.5084864259791564, 2.579823965904987, 2.6256903304444896, 2.660331176259644, 0.9553152220617813, 0.9314088658648345, 0.9129977642452044, 1.10147956682234, 1.3126855702003866, 1.555457824890617, 0.8687672739114465, 0.7110073564428679, 0.5885345597992638, 0.98480314, 0.9106898, 0.90001035]",4,low,-2,optimal,0,optimal,0
21,CD01-1,22,"[5.163609464925373, 5.339263576987275, 5.396409380152343, 0.5116186436291746, 0.49545856793373627, 0.48028270915960625, 2.417383181011952, 2.4460956245764316, 2.459371128569759, 0.9130475223047644, 0.9457488641323961, 0.9477970046695645, 1.127291068477235, 1.2996959403263422, 1.3511445427837896, 0.812009469246294, 0.7278852718412359, 0.7016008992620292, 1.0708971, 0.83652234, 0.8142698]",4,low,-2,optimal,0,optimal,0
22,CD01-1,23,"[5.274944852589128, 5.518604419849546, 5.552488963668388, 0.5248429360300901, 0.49181382035078175, 0.4751847558174092, 2.406759427615366, 2.443140415497686, 2.4492577969704104, 0.8757196926743791, 0.8839834449190295, 0.8817465009763897, 1.0935404916746743, 1.2731168204642787, 1.338850510807814, 0.8024267559487734, 0.6948119612713449, 0.6588144789252567, 1.0582672, 0.757753, 0.7240565]",4,low,-2,optimal,0,optimal,0
23,CD01-1,24,"[5.206394632822709, 5.540889332554005, 5.686423123193605, 0.5238651550837599, 0.497601195645001, 0.47983159052673496, 2.4761174768748164, 2.521592165330788, 2.533610099667463, 0.9272171214213667, 0.9317492387066376, 0.8958045743294561, 1.0170663365907573, 1.1566378328691695, 1.2042113287236402, 0.9124531187009708, 0.8060711896030978, 0.7440344861960712, 0.9905555, 0.85434955, 0.8651465]",4,low,-2,optimal,0,optimal,0
24,CD01-1,25,"[5.323064333582227, 5.633032439743167, 5.675785619719924, 0.499897543723098, 0.45961047517603176, 0.4344627973450626, 2.4752143466167165, 2.5167535534976513, 2.5234403150013236, 0.9077527915768221, 0.9068683170789765, 0.9010402531796033, 1.1316873245597183, 1.4884806350618807, 1.7717590160393195, 0.8089982168082543, 0.6116315441499625, 0.5092623576624202, 1.2866137, 0.8425869, 0.9206298]",6,optimal,0,optimal,0,optimal,0
25,CD01-1,26,"[5.2442815170054535, 5.497954790809192, 5.567716824112991, 0.5323354257466556, 0.5090287152195953, 0.4905970914635576, 2.465487276848501, 2.5112118940979897, 2.5275441588366285, 0.8964745879827573, 0.9264836271033695, 0.9196888164696531, 1.2083844936711434, 1.5504129512206977, 1.7459230742859022, 0.7484034366423524, 0.5984492541641909, 0.5269247885393982, 1.2043669, 0.82251906, 0.7994911]",6,optimal,0,optimal,0,optimal,0
26,CD01-1,27,"[5.0432748731000725, 5.409291111526886, 5.598836031119696, 0.520677295107674, 0.49938759707696284, 0.47785030861661837, 2.49677253039937, 2.5406495406483676, 2.5655940961013637, 0.9081489774410587, 0.9183164404870553, 0.9041711819420327, 1.1495648383120085, 1.4132088517138202, 1.5513262514631998, 0.7938367398523108, 0.6508058199406552, 0.5830171869388319, 1.0776112, 0.81818044, 0.80820185]",6,optimal,0,optimal,0,optimal,0
27,CD01-1,28,"[4.8507296575587935, 5.243012520425755, 5.510500914837592, 0.523216930070183, 0.5082969541918083, 0.4890946002530397, 2.50814214267482, 2.5543925899222226, 2.5887411728626204, 0.9162558802258386, 0.89784569356912, 0.8741556943062676, 1.1768528830952119, 1.3988226624080946, 1.6157703540052502, 0.7800914869997646, 0.6439846789994038, 0.5416685649373091, 1.006292, 0.86533314, 0.81792885]",6,optimal,0,optimal,0,optimal,0
28,CD01-1,29,"[4.947092102384676, 5.449452905753236, 5.716909356255137, 0.54987937689032, 0.5300143241716521, 0.5063566073220359, 2.5462122811392023, 2.59829305301332, 2.6324243659440474, 0.908931627322303, 0.8683920796297945, 0.8456097853803201, 1.1223783350039722, 1.3931265266510604, 1.7590836265981038, 0.8123564380958919, 0.6262491020056098, 0.4823817388200597, 0.9884517, 0.8878504, 0.8848702]",6,optimal,0,optimal,0,optimal,0
29,CD01-1,30,"[4.950366424833375, 5.39520176560804, 5.676072231498346, 0.5507915969508432, 0.5346098949974948, 0.5141205630746507, 2.5423690875689124, 2.5913142272595557, 2.625233846144598, 0.9392113703210776, 0.91340031029661, 0.8919280261886037, 1.1853814382640844, 1.468072803750184, 1.7533916567932526, 0.7954678770713719, 0.6240858975795293, 0.5096830042377295, 1.0255206, 0.9254877, 0.958706]",6,optimal,0,optimal,0,optimal,0
30,CD01-1,31,"[4.8705399499341135, 5.318473592713937, 5.605239486633626, 0.5457028483662434, 0.5251859854773526, 0.5027650135762252, 2.545824486417468, 2.5958936857047665, 2.6299940369115937, 0.9432215232841993, 0.9166878164537731, 0.8933268047473291, 1.033491168810158, 1.2364318891679371, 1.3980966532750294, 0.9135025636623528, 0.7442937511711354, 0.6395163088148401, 0.9705114, 0.9456737, 0.9079941]",6,optimal,0,optimal,0,optimal,0
31,CD01-1,32,"[4.979070534505872, 5.435520763274589, 5.733383316577966, 0.5501053024222591, 0.5292871335184572, 0.5063775528332809, 2.567669368683732, 2.614555874703743, 2.646095125279792, 0.9432420259941278, 0.913547487757546, 0.8873316420513218, 1.127920504426321, 1.353672686636839, 1.5938557842905883, 0.8377817559871542, 0.6768331649445918, 0.5575094259289176, 0.9759543, 0.9666669, 0.94748265]",6,optimal,0,optimal,0,optimal,0
32,CD01-1,33,"[4.972066282433797, 5.4094043940988, 5.748961883885382, 0.5483398912001352, 0.5287156362718206, 0.5065224041083433, 2.5582312828716716, 2.6104217151521447, 2.6525701999521445, 0.9601162287706054, 0.9402340271561211, 0.9247465491689301, 0.9361161716565894, 1.050849523754694, 1.2016194150823996, 1.0260323203126147, 0.8959229807660516, 0.7700499744903623, 0.96042275, 0.8856556, 0.89592886]",6,optimal,0,optimal,0,optimal,0
33,CD01-1,34,"[4.97422878676263, 5.414099588735586, 5.72404443517462, 0.540732368669071, 0.5192876073829277, 0.49446079996477704, 2.5802207972412354, 2.629957240668243, 2.6639341118793376, 0.9535668298689729, 0.9322917130815928, 0.9157147027236627, 0.9985829678961362, 1.1387779233174358, 1.3942818826618202, 0.9554556229545245, 0.8199880842426535, 0.6576773460472104, 0.9471212, 0.8803495, 0.91461957]",6,optimal,0,optimal,0,optimal,0
34,CD01-1,35,"[5.093932854736882, 5.477937997815215, 5.729073796489395, 0.5334968825274701, 0.5114880246098555, 0.49026604082182085, 2.594497631653776, 2.635943886778628, 2.6607817782168715, 0.9554201050267237, 0.9352003793172831, 0.9234732662453132, 1.1580532464269595, 1.3657645845586734, 1.7285942548106756, 0.8265777598088017, 0.6871583505832408, 0.5384300224061029, 0.9459735, 0.86307144, 0.88390684]",6,optimal,0,optimal,0,optimal,0
35,CD01-1,36,"[5.254285083869876, 5.614372544454054, 5.773134653907007, 0.5365734731226128, 0.5041460910056536, 0.4802823101052665, 2.59870210579861, 2.6439223495741593, 2.6522291257007216, 0.9653020790554204, 0.9458949467309885, 0.9231640915650203, 1.2657201892470125, 1.629653165369841, 1.9557362898101454, 0.7654722317859336, 0.5833230015846631, 0.47318103457364136, 0.9270198, 0.88009137, 0.9000346]",6,optimal,0,optimal,0,optimal,0
36,CD01-1,37,"[5.1774281164644, 5.514368206276811, 5.717781315792702, 0.5294884282298634, 0.4938336425015834, 0.46365764629913736, 2.5713380898163085, 2.611476703293388, 2.6259905062593663, 0.9446963091765315, 0.91961720990401, 0.8936808306086007, 1.2977390167336507, 1.6048153131938727, 1.9648150459631522, 0.7307210456659966, 0.5752282563318917, 0.4566982512459835, 0.9296355, 0.8606015, 0.8725968]",6,optimal,0,optimal,0,optimal,0
37,CD01-1,38,"[5.0914058766266574, 5.479661375422914, 5.7286998867333665, 0.5209983157764878, 0.5005956127198933, 0.4785974711076461, 2.577129974559316, 2.620908474172767, 2.6457509200352334, 0.9404197877890403, 0.9185901419151448, 0.9030328087750831, 1.2014985640822622, 1.4271233139857675, 1.797608017790477, 0.7846874303547521, 0.6461238183373867, 0.5052811335389505, 0.9524732, 0.87768364, 0.9010698]",6,optimal,0,optimal,0,optimal,0
38,CD01-1,39,"[5.065572868656717, 5.517834124068941, 5.800646982672372, 0.5359015156264822, 0.5139989029159877, 0.49257334525412455, 2.571397406981672, 2.621925881251475, 2.6530839986980834, 0.9417152051872514, 0.9153846505090042, 0.901320743151146, 1.1343953768625528, 1.3360138494657097, 1.7117247731828085, 0.832443571165732, 0.6880277124659251, 0.5299357601069631, 0.9620382, 0.86964303, 0.87328815]",6,optimal,0,optimal,0,optimal,0
39,CD01-1,40,"[4.872199238496055, 5.371318504963523, 5.747281270658772, 0.5529729355447732, 0.5329975106898486, 0.5079960887776637, 2.5377329372146775, 2.593334248728063, 2.6365970571973953, 0.9361629060835301, 0.9108332554271952, 0.8867654524678088, 0.9920960114933992, 1.1220820309356607, 1.2851855334660143, 0.9440044406093152, 0.8128354794042957, 0.6914886778648299, 0.96926564, 0.90386856, 0.93355066]",6,optimal,0,optimal,0,optimal,0
40,CD01-1,41,"[4.948799132555773, 5.429377117829777, 5.760505603215468, 0.5491876060044197, 0.5269346105802836, 0.5051786700638973, 2.5709750299817085, 2.6270054597471986, 2.6646644176452106, 0.9601923343993333, 0.9449454415217696, 0.9318697008433863, 1.0046968694932066, 1.1827820379772649, 1.3788685670010306, 0.9566278029421127, 0.8013125280610094, 0.6768008865182562, 1.0062109, 0.92054564, 0.903068]",6,optimal,0,optimal,0,optimal,0
41,CD01-1,42,"[4.821277965317748, 5.29680301068104, 5.642639415687995, 0.560901778301532, 0.5424144988786169, 0.5201955752532784, 2.5412791027607424, 2.5927543719890838, 2.6327306339672987, 0.9288144191743638, 0.8983960640433973, 0.8746756564348785, 1.1359277722935819, 1.3358755317008664, 1.5947933044621634, 0.819512838795759, 0.6740495396759756, 0.5492348496672499, 0.9870136, 0.9155584, 0.959882]",6,optimal,0,optimal,0,optimal,0
42,CD01-1,43,"[4.884594603846176, 5.31337683769699, 5.588576668874288, 0.5400446810781041, 0.516907274278546, 0.48939120341829584, 2.508914367079204, 2.560948463743665, 2.5945211158054486, 0.8940009058083924, 0.8747205498007636, 0.8453194054905284, 1.095641912348308, 1.3419603807568659, 1.5165515803281986, 0.8205739997676897, 0.6532982635000688, 0.5576623865098138, 1.0441772, 0.87438905, 0.88408464]",6,optimal,0,optimal,0,optimal,0
43,CD01-1,44,"[4.800553041272142, 5.221383577058242, 5.546274547837808, 0.5421264753954731, 0.5154396802527428, 0.49260041386718306, 2.4837661669049025, 2.533482075220428, 2.5742488374018357, 0.8976814948166709, 0.8821034057063374, 0.8571987037249134, 1.1028413842823097, 1.3723602224286877, 1.527361179199239, 0.8174954798777093, 0.6439899413351369, 0.5619516576115452, 1.0519636, 0.87216425, 0.84776413]",6,optimal,0,optimal,0,optimal,0
44,CD01-1,45,"[4.8020282798601865, 5.22287598245916, 5.5713384046500805, 0.5481319359800056, 0.5179478278423698, 0.4908607941550798, 2.5010637528242787, 2.553455007043283, 2.596380702456558, 0.9152708237503842, 0.8980721404574057, 0.8721896779264587, 1.0597225921173237, 1.3312049390273972, 1.4670056390388326, 0.8682715409427354, 0.6761634165289946, 0.5947935126508567, 0.98527247, 0.86385065, 0.8320822]",6,optimal,0,optimal,0,optimal,0
45,CD01-1,46,"[5.149033090174634, 5.456211600930165, 5.598257652114705, 0.5030921514452427, 0.4750731583563734, 0.4536133542732889, 2.4753029042029437, 2.516982190713474, 2.5372533065624525, 0.9125634746170035, 0.9354109898364916, 0.9337537417266621, 1.0751815863273029, 1.3315855910680767, 1.3882610128096142, 0.8526316086723191, 0.703008274642487, 0.6726104527584902, 1.078424, 0.7853684, 0.77282643]",6,optimal,0,optimal,0,optimal,0
46,CD01-1,47,"[5.182518171710571, 5.481027479911532, 5.612143893402909, 0.5325078796758232, 0.5099195975380955, 0.48903737502953665, 2.4837995745261097, 2.5339200319071233, 2.5567956330772987, 0.9128279293092749, 0.9371515846728625, 0.9260303166285255, 1.1405395829349771, 1.5437221520270834, 1.7971928206793137, 0.8108164873039312, 0.6089786161059714, 0.5155783641978563, 1.2331258, 0.86500406, 0.8531391]",6,optimal,0,optimal,0,optimal,0
47,CD01-1,48,"[5.30297512119212, 5.684336153400444, 5.837163496162495, 0.5246599468146931, 0.49447994516257454, 0.47196529945711047, 2.599629209332865, 2.643168418441512, 2.6586675533144253, 0.9670158800206865, 0.9494012150910465, 0.9265696025218934, 1.0209065771864245, 1.258951192329054, 1.6068105181244134, 0.9488047376253478, 0.7559048488585753, 0.5797739779164475, 0.93279, 0.8957126, 0.9697503]",6,optimal,0,optimal,0,optimal,0
48,CD01-1,49,"[5.223254256699714, 5.686921020698063, 5.84513524527047, 0.5280138041415645, 0.48908196762424755, 0.46100486552486925, 2.5997310757668024, 2.6499533649032156, 2.6628623111438636, 0.9594986042766792, 0.9374503866022136, 0.9138707672609224, 1.0578043003917208, 1.411016727531999, 1.8686911310767025, 0.9110379414369972, 0.6683106593131092, 0.4926351972835812, 0.9814461, 0.920662, 0.9969573]",8,optimal,0,high,2,high,2
49,CD01-1,50,"[5.17788657012823, 5.442549503840074, 5.448963557629457, 0.5205349945706055, 0.4915749992843861, 0.478110743402638, 2.4496775900306735, 2.49621038895931, 2.503250312138116, 0.8640142263120959, 0.9033226279804846, 0.9265107599518739, 1.0890772749336983, 1.4525803678367601, 1.5734144434270338, 0.8034113230355111, 0.6227800208790206, 0.5888818963661622, 1.3017557, 0.7910659, 0.823214]",8,optimal,0,high,2,high,2
50,CD01-1,51,"[5.202048443305212, 5.492303842654841, 5.607072854279701, 0.5341668962319468, 0.5141728107584381, 0.4987216836616773, 2.449383165396302, 2.492119258233879, 2.5068490343665366, 0.9082326176021941, 0.9303195167129729, 0.9267253940923642, 1.0600155290525277, 1.2576196374447957, 1.279593658574472, 0.8609469416169514, 0.739947106223773, 0.7243094745057775, 1.2065088, 0.81912196, 0.77712053]",8,optimal,0,high,2,high,2
51,CD01-1,52,"[4.732921920853244, 5.178180747259328, 5.498863249654636, 0.5251946102801957, 0.507372734321116, 0.4842274528972996, 2.498811519324653, 2.5513346869274858, 2.59081758001728, 0.9065505446552533, 0.8883138731257059, 0.8675508466313321, 1.0672148237387196, 1.3071523306261517, 1.4515331779327354, 0.8553095231464064, 0.6811138289511284, 0.5977665757449652, 1.093106, 0.8697357, 0.8049226]",8,optimal,0,high,2,high,2
52,CD01-1,53,"[4.840038001034153, 5.249804729628655, 5.534647742242214, 0.5465110915065483, 0.5288000964088853, 0.5062461224865377, 2.4784833865099443, 2.5292565548787853, 2.5668981858806386, 0.8967210644700454, 0.8810177080933842, 0.8534884113959874, 1.1067039109704973, 1.3690628347156428, 1.5122426224524215, 0.8170126481182632, 0.6443477142833428, 0.564631178469033, 1.095041, 0.867626, 0.80935895]",8,optimal,0,high,2,high,2
53,CD01-1,54,"[4.936982671406298, 5.466495558799948, 5.720777874637118, 0.5549852364351419, 0.5352897162714741, 0.5146677912267902, 2.522756759142383, 2.5752096044798556, 2.59886895503076, 0.9148343624271021, 0.8816127223221556, 0.8537770142353481, 1.0420686552091698, 1.2716965818481567, 1.5326186790726026, 0.8807744775055617, 0.6948288125080442, 0.5575307390873483, 1.0703202, 0.96053386, 0.9466534]",8,optimal,0,high,2,high,2
54,CD01-1,55,"[4.904693012455814, 5.470407321674749, 5.707121029091586, 0.553538266046629, 0.527369745532443, 0.505864161382111, 2.535912089351077, 2.597428022283283, 2.6239221501482377, 0.9335635740397645, 0.8959139149615339, 0.8784427808237333, 0.9661171343051338, 1.2270645522104178, 1.4987529289951267, 0.9690122912034526, 0.7333444699929357, 0.5883714551758837, 1.049615, 1.0422791, 1.0155625]",8,optimal,0,high,2,high,2
55,CD01-1,56,"[4.769261579588932, 5.324138611133656, 5.664614268117639, 0.557061419775945, 0.5357835503682685, 0.5119513898865469, 2.532820665403635, 2.5965249776796826, 2.6354136153955405, 0.9299200428864107, 0.8961444121419123, 0.8732161354486068, 1.0357077807807336, 1.1886088429996948, 1.3906641303853025, 0.8980484560124751, 0.7555395992103202, 0.629201082185794, 0.99549836, 0.90197265, 0.9044266]",8,optimal,0,high,2,high,2
56,CD01-1,57,"[4.899797355395704, 5.444050296515101, 5.752213903288076, 0.574838044032142, 0.5559524810766354, 0.536492143498759, 2.5329000683987157, 2.596638178997851, 2.63383977295152, 0.9444662438544094, 0.9150293450275131, 0.8997158738289334, 0.9794328474731269, 1.1425888158201738, 1.4745725206999882, 0.9647914933431525, 0.8052753599025279, 0.6116933870161839, 0.93237126, 0.92697245, 0.91986144]",8,optimal,0,high,2,high,2
57,CD01-1,58,"[5.015700046353913, 5.503847068303837, 5.658477291711318, 0.5312410733587422, 0.5027096970978415, 0.4804099371872219, 2.5155875965600103, 2.5709826539822442, 2.5885740444554917, 0.9290631046628525, 0.8971440982370894, 0.89111542642563, 1.0449906005576117, 1.342384108830264, 1.8567428885823483, 0.8913986338865902, 0.67604752606642, 0.48247144785702517, 1.0130184, 1.0288553, 1.0061772]",8,optimal,0,high,2,high,2
58,CD01-1,59,"[5.1691254460603195, 5.6118775584820995, 5.78207191333362, 0.5429838274588923, 0.5146777854724959, 0.49282196943116063, 2.577769870770165, 2.6322350271159194, 2.6490524310902237, 0.9513516280219223, 0.9254676190186393, 0.9176005279753978, 1.1390768366354307, 1.4953384808745418, 2.061778030503354, 0.8397265546011956, 0.6236262781758368, 0.4467612625324846, 0.98963624, 0.94612694, 1.0029421]",8,optimal,0,high,2,high,2
59,CD01-1,60,"[5.178715658264313, 5.569332843834015, 5.681931768803204, 0.5340120932671356, 0.4981535880520407, 0.4709437614826621, 2.5462909295523195, 2.59344663958453, 2.594990511299247, 0.9254540888463678, 0.8957699000881093, 0.8654275618217585, 1.1189875853828453, 1.5323883059337586, 1.9910788922925025, 0.8336386447203049, 0.5888028023613053, 0.4361666381843016, 0.98994005, 0.93025815, 0.9997178]",8,optimal,0,high,2,high,2
60,CD01-1,61,"[5.255198431975543, 5.650082991958005, 5.73350175253695, 0.542927871179163, 0.5045918417987948, 0.47896992613647216, 2.594642347646452, 2.6407692142214296, 2.6402143921627927, 0.9514999778072082, 0.9277385705122975, 0.908729994497787, 1.1814424147093932, 1.6701451071927034, 2.2440414913822884, 0.8161258681874018, 0.5606855349894129, 0.4060303953321784, 0.9625144, 0.9040958, 0.9680061]",8,optimal,0,high,2,high,2
