,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
94,CD01-1,95,"[5.34513835182773, 5.447602601340381, 5.3672378683385835, 0.5150527501198575, 0.47936071800815117, 0.46285947041545006, 2.476022647746434, 2.5145763897974795, 2.511436018325377, 0.8605838995824591, 0.9152801491211379, 0.9646483785545144, 1.245425537195613, 1.7245794968210293, 2.002387754145401, 0.7115319403177345, 0.5318512560133726, 0.48197106361634373, 1.3107269, 0.79702926, 0.9254826]",10,high,2,high,4,high,4
162,CD01-3,67,"[4.68872661777479, 4.83609875508062, 4.837248009671686, 0.5367932030581862, 0.5142383681890667, 0.5008725773249197, 2.4881231442974556, 2.5180907641589196, 2.5293376830256595, 0.8718596561318291, 0.9109391669939524, 0.9492688989306661, 1.4499991942211405, 1.672084201448422, 1.7582195318320848, 0.6041374521358374, 0.5448992305893178, 0.539894406992059, 1.2436035, 1.0970256, 1.1237456]",12,high,2,high,4,optimal,0
370,CD01-4,83,"[4.063829254586073, 4.393191686053162, 4.611843031934696, 0.5600620012226368, 0.5470367894363118, 0.5347982379160342, 2.513719266108499, 2.5511706544856687, 2.5727603220312596, 0.992533754873117, 0.9880198784877322, 0.9664911958385485, 0.7701655878147822, 0.5052900423843409, 0.5079554617174955, 1.3595311665161836, 1.9570321290947013, 1.9037814198625385, 0.96123666, 0.8990789, 0.87351584]",12,optimal,0,optimal,0,high,2
35,CD01-1,36,"[5.254285083869876, 5.614372544454054, 5.773134653907007, 0.5365734731226128, 0.5041460910056536, 0.4802823101052665, 2.59870210579861, 2.6439223495741593, 2.6522291257007216, 0.9653020790554204, 0.9458949467309885, 0.9231640915650203, 1.2657201892470125, 1.629653165369841, 1.9557362898101454, 0.7654722317859336, 0.5833230015846631, 0.47318103457364136, 0.9270198, 0.88009137, 0.9000346]",6,optimal,0,optimal,0,optimal,0
128,CD01-3,33,"[4.666643831822063, 5.092101709570728, 5.276842068036306, 0.5552789476838014, 0.5331191172582556, 0.51261727261043, 2.487590052140543, 2.5417288536930536, 2.5742223950130207, 0.918703765957696, 0.8796954111268246, 0.8876060152966422, 1.126279655126683, 1.2874023677997, 1.4016933993335245, 0.8204244115946783, 0.6836546910348321, 0.6337419450864817, 1.0288851, 0.79315805, 0.7874135]",6,optimal,0,optimal,0,optimal,0
74,CD01-1,75,"[5.294837396443981, 5.4693723276652975, 5.438018815713374, 0.532253706398395, 0.5009839237276293, 0.48414680484084255, 2.491723332317872, 2.5377732687184515, 2.54457102760278, 0.87340229391034, 0.9259499050477434, 0.9643231195446023, 1.226728991850393, 1.8240086852346795, 2.140326843012713, 0.7327059359846251, 0.5095541235931595, 0.4507491151632897, 1.364555, 0.8066306, 0.8395819]",10,high,2,high,4,high,4
53,CD01-1,54,"[4.936982671406298, 5.466495558799948, 5.720777874637118, 0.5549852364351419, 0.5352897162714741, 0.5146677912267902, 2.522756759142383, 2.5752096044798556, 2.59886895503076, 0.9148343624271021, 0.8816127223221556, 0.8537770142353481, 1.0420686552091698, 1.2716965818481567, 1.5326186790726026, 0.8807744775055617, 0.6948288125080442, 0.5575307390873483, 1.0703202, 0.96053386, 0.9466534]",8,optimal,0,high,2,high,2
22,CD01-1,23,"[5.274944852589128, 5.518604419849546, 5.552488963668388, 0.5248429360300901, 0.49181382035078175, 0.4751847558174092, 2.406759427615366, 2.443140415497686, 2.4492577969704104, 0.8757196926743791, 0.8839834449190295, 0.8817465009763897, 1.0935404916746743, 1.2731168204642787, 1.338850510807814, 0.8024267559487734, 0.6948119612713449, 0.6588144789252567, 1.0582672, 0.757753, 0.7240565]",4,low,-2,optimal,0,optimal,0
313,CD01-4,26,"[4.201280234071252, 4.4043628442668945, 4.651765897157033, 0.5734694364755029, 0.5648010557087556, 0.5509094487139287, 2.5568573121037597, 2.5826080553616912, 2.618443408649417, 0.981974105622332, 0.9684960888561448, 0.9573353631306055, 1.0477710744901931, 0.9154332848675523, 0.9590586833542679, 0.939229105050214, 1.0582525779030412, 0.9982921475835266, 0.8952423, 0.86472344, 0.8482642]",2,low,-2,low,-2,low,-2
275,CD01-2,84,"[4.33016748120162, 4.598373910653769, 4.734931503548591, 0.5595618153294679, 0.541135077274714, 0.5284390211186379, 2.5062160995233276, 2.5319590905193796, 2.5405572570410997, 0.9808249375229265, 0.9410251384521945, 0.8902228439168736, 0.8668874123340956, 0.8095464398470316, 0.8738398096190076, 1.1343094370102984, 1.162738426339798, 1.0195526141589222, 0.9634237, 0.92687404, 0.93127596]",10,optimal,0,high,2,high,6
